"StatRec","Survey","F_CODE","Quarter","Year","Lusitanian","Boreal","ratio","Lat","Lon","WKT"
"35F0","NS-IBTS","27.4.c",1,2017,12,12,1,0.5,53.25,"POLYGON ((0.000000000099988 53.0000000002998,0.000000000099988 53.5000000001999,0.999999999900126 53.5000000001999,0.999999999900126 53.0000000002998,0.000000000099988 53.0000000002998))"
"35F1","NS-IBTS","27.4.c",1,2017,13,10,1.3,1.5,53.25,"POLYGON ((0.999999999900126 53.0000000002998,0.999999999900126 53.5000000001999,1.99999999970026 53.5000000001999,1.99999999970026 53.0000000002998,0.999999999900126 53.0000000002998))"
"35F2","NS-IBTS","27.4.c",1,2017,12,6,2,2.5,53.25,"POLYGON ((1.99999999970026 53.0000000002998,1.99999999970026 53.5000000001999,3.00000000039972 53.5000000001999,3.00000000039972 53.0000000002998,1.99999999970026 53.0000000002998))"
"35F3","NS-IBTS","27.4.c",1,2017,17,7,2.42857142857143,3.5,53.25,"POLYGON ((3.00000000039972 53.0000000002998,3.00000000039972 53.5000000001999,4.00000000019992 53.5000000001999,4.00000000019992 53.0000000002998,3.00000000039972 53.0000000002998))"
"35F4","NS-IBTS","27.4.c",1,2017,7,5,1.4,4.5,53.25,"POLYGON ((4.00000000019992 53.0000000002998,4.00000000019992 53.5000000001999,5.00000000000006 53.5000000001999,5.00000000000006 53.0000000002998,4.00000000019992 53.0000000002998))"
"36F0","NS-IBTS","27.4.b",1,2017,15,10,1.5,0.5,53.75,"POLYGON ((0.000000000099988 53.5000000001999,0.000000000099988 54.0000000001,0.999999999900126 54.0000000001,0.999999999900126 53.5000000001999,0.000000000099988 53.5000000001999))"
"36F1","NS-IBTS","27.4.b",1,2017,15,9,1.66666666666667,1.5,53.75,"POLYGON ((0.999999999900126 53.5000000001999,0.999999999900126 54.0000000001,1.99999999970026 54.0000000001,1.99999999970026 53.5000000001999,0.999999999900126 53.5000000001999))"
"36F2","NS-IBTS","27.4.b",1,2017,13,7,1.85714285714286,2.5,53.75,"POLYGON ((1.99999999970026 53.5000000001999,1.99999999970026 54.0000000001,3.00000000039972 54.0000000001,3.00000000039972 53.5000000001999,1.99999999970026 53.5000000001999))"
"36F3","NS-IBTS","27.4.b",1,2017,9,7,1.28571428571429,3.5,53.75,"POLYGON ((3.00000000039972 53.5000000001999,3.00000000039972 54.0000000001,4.00000000019992 54.0000000001,4.00000000019992 53.5000000001999,3.00000000039972 53.5000000001999))"
"36F4","NS-IBTS","27.4.b",1,2017,8,5,1.6,4.5,53.75,"POLYGON ((4.00000000019992 53.5000000001999,4.00000000019992 54.0000000001,5.00000000000006 54.0000000001,5.00000000000006 53.5000000001999,4.00000000019992 53.5000000001999))"
"36F5","NS-IBTS","27.4.b",1,2017,8,5,1.6,5.5,53.75,"POLYGON ((5.00000000000006 53.5000000001999,5.00000000000006 54.0000000001,5.9999999998002 54.0000000001,5.9999999998002 53.5000000001999,5.00000000000006 53.5000000001999))"
"36F6","NS-IBTS","27.4.b",1,2017,3,6,0.5,6.5,53.75,"POLYGON ((5.9999999998002 53.5000000001999,5.9999999998002 54.0000000001,6.99999999960033 54.0000000001,6.99999999960033 53.5000000001999,5.9999999998002 53.5000000001999))"
"36F7","NS-IBTS","27.4.b",1,2017,4,5,0.8,7.5,53.75,"POLYGON ((6.99999999960033 53.5000000001999,6.99999999960033 54.0000000001,8.00000000029985 54.0000000001,8.00000000029985 53.5000000001999,6.99999999960033 53.5000000001999))"
