"Survey","Quarter","Year","StatRec","F_CODE","Lat","Lon","WKT","Boreal","Lusitanian","Unknown","Atlantic","ratio"
"NS-IBTS",1,1972,"42F4","4.b",4.5,56.75,"POLYGON ((4.00000000019992 56.4999999996003,4.00000000019992 57.0000000003998,5.00000000000006 57.0000000003998,5.00000000000006 56.4999999996003,4.00000000019992 56.4999999996003))",4,2,0,1,0.5
"NS-IBTS",1,1972,"42F5","4.b",5.5,56.75,"POLYGON ((5.00000000000006 56.4999999996003,5.00000000000006 57.0000000003998,5.9999999998002 57.0000000003998,5.9999999998002 56.4999999996003,5.00000000000006 56.4999999996003))",9,3,0,1,0.333333333333333
"NS-IBTS",1,1972,"43E8","4.b",-1.5,57.25,"POLYGON ((-2.00000000039967 57.0000000003998,-2.00000000039967 57.5000000002998,-0.999999999700151 57.5000000002998,-0.999999999700151 57.0000000003998,-2.00000000039967 57.0000000003998))",9,4,2,0,0.444444444444444
"NS-IBTS",1,1972,"43E9","4.b",-0.5,57.25,"POLYGON ((-0.999999999700151 57.0000000003998,-0.999999999700151 57.5000000002998,0.000000000099988 57.5000000002998,0.000000000099988 57.0000000003998,-0.999999999700151 57.0000000003998))",9,4,0,0,0.444444444444444
"NS-IBTS",1,1972,"43F2","4.b",2.5,57.25,"POLYGON ((1.99999999970026 57.0000000003998,1.99999999970026 57.5000000002998,3.00000000039972 57.5000000002998,3.00000000039972 57.0000000003998,1.99999999970026 57.0000000003998))",3,1,0,0,0.333333333333333
"NS-IBTS",1,1972,"43F6","4.b",6.5,57.25,"POLYGON ((5.9999999998002 57.0000000003998,5.9999999998002 57.5000000002998,6.99999999960033 57.5000000002998,6.99999999960033 57.0000000003998,5.9999999998002 57.0000000003998))",8,1,0,0,0.125
"NS-IBTS",1,1972,"44E6","4.a",-3.5,57.75,"POLYGON ((-3.99999999999994 57.5000000002998,-3.99999999999994 58.0000000001999,-3.0000000001998 58.0000000001999,-3.0000000001998 57.5000000002998,-3.99999999999994 57.5000000002998))",9,4,1,0,0.444444444444444
"NS-IBTS",1,1972,"44E7","4.a",-2.5,57.75,"POLYGON ((-3.0000000001998 57.5000000002998,-3.0000000001998 58.0000000001999,-2.00000000039967 58.0000000001999,-2.00000000039967 57.5000000002998,-3.0000000001998 57.5000000002998))",8,3,1,0,0.375
"NS-IBTS",1,1972,"44E8","4.a",-1.5,57.75,"POLYGON ((-2.00000000039967 57.5000000002998,-2.00000000039967 58.0000000001999,-0.999999999700151 58.0000000001999,-0.999999999700151 57.5000000002998,-2.00000000039967 57.5000000002998))",9,5,1,0,0.555555555555556
"NS-IBTS",1,1972,"44E9","4.a",-0.5,57.75,"POLYGON ((-0.999999999700151 57.5000000002998,-0.999999999700151 58.0000000001999,0.000000000099988 58.0000000001999,0.000000000099988 57.5000000002998,-0.999999999700151 57.5000000002998))",9,7,0,1,0.777777777777778
"NS-IBTS",1,1972,"45E6","4.a",-3.5,58.25,"POLYGON ((-3.99999999999994 58.0000000001999,-3.99999999999994 58.5000000001,-3.0000000001998 58.5000000001,-3.0000000001998 58.0000000001999,-3.99999999999994 58.0000000001999))",8,6,1,0,0.75
"NS-IBTS",1,1972,"45E7","4.a",-2.5,58.25,"POLYGON ((-3.0000000001998 58.0000000001999,-3.0000000001998 58.5000000001,-2.00000000039967 58.5000000001,-2.00000000039967 58.0000000001999,-3.0000000001998 58.0000000001999))",5,4,1,0,0.8
"NS-IBTS",1,1972,"45E8","4.a",-1.5,58.25,"POLYGON ((-2.00000000039967 58.0000000001999,-2.00000000039967 58.5000000001,-0.999999999700151 58.5000000001,-0.999999999700151 58.0000000001999,-2.00000000039967 58.0000000001999))",11,3,1,0,0.272727272727273
"NS-IBTS",1,1972,"45F0","4.a",0.5,58.25,"POLYGON ((0.000000000099988 58.0000000001999,0.000000000099988 58.5000000001,0.999999999900126 58.5000000001,0.999999999900126 58.0000000001999,0.000000000099988 58.0000000001999))",6,4,0,1,0.666666666666667
"NS-IBTS",1,1972,"45F1","4.a",1.5,58.25,"POLYGON ((0.999999999900126 58.0000000001999,0.999999999900126 58.5000000001,1.99999999970026 58.5000000001,1.99999999970026 58.0000000001999,0.999999999900126 58.0000000001999))",7,2,0,2,0.285714285714286
"NS-IBTS",1,1972,"45F4","4.a",4.5,58.25,"POLYGON ((4.00000000019992 58.0000000001999,4.00000000019992 58.5000000001,5.00000000000006 58.5000000001,5.00000000000006 58.0000000001999,4.00000000019992 58.0000000001999))",3,1,0,0,0.333333333333333
"NS-IBTS",1,1972,"46E6","4.a",-3.5,58.75,"POLYGON ((-3.99999999999994 58.5000000001,-3.99999999999994 59.0000000000001,-3.0000000001998 59.0000000000001,-3.0000000001998 58.5000000001,-3.99999999999994 58.5000000001))",10,8,1,0,0.8
"NS-IBTS",1,1972,"46E7","4.a",-2.5,58.75,"POLYGON ((-3.0000000001998 58.5000000001,-3.0000000001998 59.0000000000001,-2.00000000039967 59.0000000000001,-2.00000000039967 58.5000000001,-3.0000000001998 58.5000000001))",9,7,1,1,0.777777777777778
"NS-IBTS",1,1972,"46F0","4.a",0.5,58.75,"POLYGON ((0.000000000099988 58.5000000001,0.000000000099988 59.0000000000001,0.999999999900126 59.0000000000001,0.999999999900126 58.5000000001,0.000000000099988 58.5000000001))",10,3,1,2,0.3
"NS-IBTS",1,1972,"46F2","4.a",2.5,58.75,"POLYGON ((1.99999999970026 58.5000000001,1.99999999970026 59.0000000000001,3.00000000039972 59.0000000000001,3.00000000039972 58.5000000001,1.99999999970026 58.5000000001))",9,2,0,1,0.222222222222222
"NS-IBTS",1,1972,"47F1","4.a",1.5,59.25,"POLYGON ((0.999999999900126 59.0000000000001,0.999999999900126 59.4999999999001,1.99999999970026 59.4999999999001,1.99999999970026 59.0000000000001,0.999999999900126 59.0000000000001))",4,2,0,1,0.5
"NS-IBTS",1,1972,"48F3","4.a",3.5,59.75,"POLYGON ((3.00000000039972 59.4999999999001,3.00000000039972 59.9999999998002,4.00000000019992 59.9999999998002,4.00000000019992 59.4999999999001,3.00000000039972 59.4999999999001))",5,6,0,0,1.2
"NS-IBTS",1,1973,"37F2","4.b",2.5,54.25,"POLYGON ((1.99999999970026 54.0000000001,1.99999999970026 54.5000000000001,3.00000000039972 54.5000000000001,3.00000000039972 54.0000000001,1.99999999970026 54.0000000001))",8,9,0,1,1.125
"NS-IBTS",1,1973,"37F3","4.b",3.5,54.25,"POLYGON ((3.00000000039972 54.0000000001,3.00000000039972 54.5000000000001,4.00000000019992 54.5000000000001,4.00000000019992 54.0000000001,3.00000000039972 54.0000000001))",6,10,0,0,1.66666666666667
"NS-IBTS",1,1973,"38F2","4.b",2.5,54.75,"POLYGON ((1.99999999970026 54.5000000000001,1.99999999970026 54.9999999999001,3.00000000039972 54.9999999999001,3.00000000039972 54.5000000000001,1.99999999970026 54.5000000000001))",1,2,1,0,2
"NS-IBTS",1,1973,"38F3","4.b",3.5,54.75,"POLYGON ((3.00000000039972 54.5000000000001,3.00000000039972 54.9999999999001,4.00000000019992 54.9999999999001,4.00000000019992 54.5000000000001,3.00000000039972 54.5000000000001))",6,6,0,0,1
"NS-IBTS",1,1973,"38F4","4.b",4.5,54.75,"POLYGON ((4.00000000019992 54.5000000000001,4.00000000019992 54.9999999999001,5.00000000000006 54.9999999999001,5.00000000000006 54.5000000000001,4.00000000019992 54.5000000000001))",8,7,0,1,0.875
"NS-IBTS",1,1973,"39F2","4.b",2.5,55.25,"POLYGON ((1.99999999970026 54.9999999999001,1.99999999970026 55.4999999998002,3.00000000039972 55.4999999998002,3.00000000039972 54.9999999999001,1.99999999970026 54.9999999999001))",5,4,0,0,0.8
"NS-IBTS",1,1973,"39F3","4.b",3.5,55.25,"POLYGON ((3.00000000039972 54.9999999999001,3.00000000039972 55.4999999998002,4.00000000019992 55.4999999998002,4.00000000019992 54.9999999999001,3.00000000039972 54.9999999999001))",2,3,1,0,1.5
"NS-IBTS",1,1973,"39F4","4.b",4.5,55.25,"POLYGON ((4.00000000019992 54.9999999999001,4.00000000019992 55.4999999998002,5.00000000000006 55.4999999998002,5.00000000000006 54.9999999999001,4.00000000019992 54.9999999999001))",7,6,0,0,0.857142857142857
"NS-IBTS",1,1973,"40F2","4.b",2.5,55.75,"POLYGON ((1.99999999970026 55.4999999998002,1.99999999970026 55.9999999997003,3.00000000039972 55.9999999997003,3.00000000039972 55.4999999998002,1.99999999970026 55.4999999998002))",7,6,1,1,0.857142857142857
"NS-IBTS",1,1973,"40F3","4.b",3.5,55.75,"POLYGON ((3.00000000039972 55.4999999998002,3.00000000039972 55.9999999997003,4.00000000019992 55.9999999997003,4.00000000019992 55.4999999998002,3.00000000039972 55.4999999998002))",7,3,1,0,0.428571428571429
"NS-IBTS",1,1973,"41E7","4.b",-2.5,56.25,"POLYGON ((-3.0000000001998 55.9999999997003,-3.0000000001998 56.4999999996003,-2.00000000039967 56.4999999996003,-2.00000000039967 55.9999999997003,-3.0000000001998 55.9999999997003))",10,6,3,0,0.6
